,Proto,Flows,Bytes,src_ips,dst_ips
0,UDP,1.0,40,   172.28.10.36,    193.1.186.2
1,TCP,1.0,0,    172.28.28.7,   40.77.229.18
2,TCP,1.0,1138,    172.28.28.7,   40.77.229.18
3,TCP,1.0,0, 150.242.68.108,157.190.226.233
4,UDP,1.0,0,  172.28.22.237,    193.1.186.2
5,TCP,1.0,1223,157.190.130.126,  54.230.31.224
6,TCP,1.0,2290,   172.28.14.54,108.177.119.147
7,UDP,1.0,47,  172.28.20.163,    193.1.186.2
8,UDP,1.0,40,  172.28.23.220,    193.1.186.2
9,UDP,1.0,40,     172.28.3.7,    193.1.186.2
10,TCP,1.0,24883,     172.28.3.7,     31.13.90.2
11,UDP,1.0,51,  172.28.23.220,    193.1.186.2
12,UDP,1.0,31,   172.28.1.184,    193.1.186.2
13,UDP,1.0,42,  172.28.23.220,    193.1.186.2
14,TCP,1.0,1354, 157.190.46.200, 209.85.202.154
15,TCP,1.0,706,  172.28.20.163,  209.85.202.94
16,UDP,1.0,40,     172.28.3.7,    193.1.186.3
17,UDP,1.0,4066, 157.190.33.163,  172.217.20.99
18,UDP,1.0,34,    172.28.0.53,    193.1.186.2
19,UDP,1.0,32,  172.28.19.105,    193.1.186.2
20,UDP,1.0,44,   172.28.10.16,    193.1.186.2
21,UDP,1.0,32,  172.28.19.105,    193.1.186.3
22,UDP,1.0,47,  172.28.24.177,    193.1.186.2
23,UDP,1.0,36,   172.28.3.174,    193.1.186.2
24,UDP,1.0,36, 172.28.244.132,    193.1.186.2
25,UDP,1.0,34,   172.28.17.43,    193.1.186.2
26,TCP,1.0,1323,   172.28.10.16, 209.85.202.138
27,UDP,1.0,44,  172.28.241.10,    193.1.186.2
28,TCP,1.0,6117,157.190.130.126, 159.122.19.147
29,TCP,1.0,829,157.190.130.126, 159.122.19.147
30,TCP,1.0,2513,157.190.130.126, 159.122.19.147
31,TCP,1.0,1108,   172.28.17.43,   54.192.30.72
32,TCP,1.0,1073, 157.190.152.55,    31.13.90.36
33,TCP,1.0,1791,  172.28.24.117,    31.13.90.37
34,UDP,1.0,38,  172.28.24.117,    193.1.186.2
35,UDP,1.0,34,  172.28.241.10,    193.1.186.2
36,TCP,1.0,698, 157.190.36.164,  93.184.220.29
37,UDP,1.0,36,  172.28.29.206,    193.1.186.2
38,UDP,1.0,31,  172.28.29.206,    193.1.186.2
39,UDP,1.0,50,   172.28.0.211,    193.1.186.2
40,UDP,1.0,32,  172.28.29.206,    193.1.186.2
41,UDP,1.0,44,  172.28.29.206,    193.1.186.2
42,UDP,1.0,16,157.190.137.121,    192.168.1.5
43,TCP,1.0,1552, 157.190.129.80,   162.125.64.3
44,UDP,1.0,36,  172.28.27.141,    193.1.186.2
45,TCP,1.0,7260,   172.28.8.212,   157.240.1.18
46,UDP,1.0,51,  172.28.27.203,    193.1.186.2
47,TCP,1.0,13305,   172.28.0.211,173.194.138.141
48,TCP,1.0,3657,  157.190.38.36, 209.85.202.189
49,TCP,1.0,314,  157.190.38.36, 209.85.202.101
50,TCP,1.0,8923,  157.190.38.36, 209.85.202.101
51,TCP,1.0,3386,  172.28.29.206, 108.177.119.94
52,UDP,1.0,30,  172.28.29.206,    193.1.186.2
53,TCP,1.0,885,  172.28.27.203, 23.212.228.142
54,UDP,1.0,42,  172.28.25.198,    193.1.186.2
55,UDP,1.0,34,   172.28.5.206,    193.1.186.2
56,TCP,1.0,831,  172.28.24.246, 209.85.202.157
57,TCP,1.0,1763,   172.28.2.168, 209.85.202.153
58,UDP,1.0,48,  172.28.241.10,    193.1.186.2
59,UDP,1.0,33,   172.28.13.75,    193.1.186.2
60,UDP,1.0,33,    172.28.3.72,    193.1.186.2
61,TCP,1.0,869,  172.28.10.112,   23.100.86.91
62,UDP,1.0,41,  172.28.27.112,    193.1.186.2
63,TCP,1.0,320,  157.190.38.36, 209.85.202.132
64,TCP,1.0,919,  157.190.38.36, 209.85.202.132
65,TCP,1.0,1956,   172.28.5.206, 162.125.18.133
66,TCP,1.0,392,   172.28.13.75,   169.60.79.21
67,UDP,1.0,51,  172.28.26.185,    193.1.186.2
68,UDP,1.0,0,    79.97.21.45,  157.190.41.30
69,UDP,1.0,0,    79.97.21.45,  157.190.41.30
70,UDP,1.0,0,    79.97.21.45,  157.190.41.30
71,UDP,1.0,0,   93.107.77.70, 157.190.54.222
72,TCP,1.0,0,   77.81.25.162, 157.190.167.51
73,UDP,1.0,0,  172.28.20.203,    193.1.186.2
74,TCP,1.0,0, 123.201.121.74, 157.190.149.54
75,UDP,1.0,0,  51.171.255.63,  157.190.41.30
76,UDP,1.0,0,  45.55.186.174, 157.190.144.44
77,TCP,1.0,0,  172.28.27.139, 54.225.105.212
78,TCP,1.0,0, 173.216.143.92,  157.190.64.57
79,UDP,1.0,0,157.190.137.121,   192.168.1.22
80,UDP,1.0,16,157.190.137.121,   192.168.1.22
81,TCP,1.0,0, 157.190.248.42, 157.190.163.12
