Line_No,Date_first_seen,Duration,Proto,Flags,Tos,Packets,Bytes,Flows,src_ips,src_ports,dst_ips,dst_ports
0,2017-10-23 16:14:39.426,0.0, UDP,......,0,0,40,1.0,   172.28.10.36,62325 ,    193.1.186.2,53    
1,2017-10-23 16:19:08.342,0.0, TCP,......,0,0,0,1.0,    172.28.28.7,49451 ,   40.77.229.18,443   
2,2017-10-23 16:08:56.195,0.0, TCP,......,0,0,1138,1.0,    172.28.28.7,49451 ,   40.77.229.18,443   
3,1970-01-01 01:00:00.000,0.0, TCP,......,0,0,0,1.0, 150.242.68.108,18696 ,157.190.226.233,23    
4,2017-10-23 16:19:40.554,0.0, UDP,......,0,0,0,1.0,  172.28.22.237,26616 ,    193.1.186.2,53    
5,2017-10-23 16:18:38.400,0.0, TCP,......,0,0,1223,1.0,157.190.130.126,62961 ,  54.230.31.224,443   
6,2017-10-23 16:18:38.410,0.0, TCP,......,0,0,2290,1.0,   172.28.14.54,52975 ,108.177.119.147,443   
7,2017-10-23 16:18:38.410,0.0, UDP,......,0,0,47,1.0,  172.28.20.163,62779 ,    193.1.186.2,53    
8,2017-10-23 16:18:38.410,0.0, UDP,......,0,0,40,1.0,  172.28.23.220,43937 ,    193.1.186.2,53    
9,2017-10-23 16:18:38.420,0.0, UDP,......,0,0,40,1.0,     172.28.3.7,58824 ,    193.1.186.2,53    
10,2017-10-23 16:18:38.420,0.0, TCP,......,0,0,24883,1.0,     172.28.3.7,59322 ,     31.13.90.2,443   
11,2017-10-23 16:18:38.430,0.0, UDP,......,0,0,51,1.0,  172.28.23.220,38761 ,    193.1.186.2,53    
12,2017-10-23 16:18:38.440,0.0, UDP,......,0,0,31,1.0,   172.28.1.184,62216 ,    193.1.186.2,53    
13,2017-10-23 16:18:38.450,0.0, UDP,......,0,0,42,1.0,  172.28.23.220,52869 ,    193.1.186.2,53    
14,2017-10-23 16:18:38.450,0.0, TCP,......,0,0,1354,1.0, 157.190.46.200,53227 , 209.85.202.154,443   
15,2017-10-23 16:18:38.450,0.0, TCP,......,0,0,706,1.0,  172.28.20.163,52984 ,  209.85.202.94,443   
16,2017-10-23 16:18:38.450,0.0, UDP,......,0,0,40,1.0,     172.28.3.7,58824 ,    193.1.186.3,53    
17,2017-10-23 16:18:38.450,0.0, UDP,......,0,0,4066,1.0, 157.190.33.163,59668 ,  172.217.20.99,443   
18,2017-10-23 16:18:38.460,0.0, UDP,......,0,0,34,1.0,    172.28.0.53,63558 ,    193.1.186.2,53    
19,2017-10-23 16:18:38.460,0.0, UDP,......,0,0,32,1.0,  172.28.19.105,35590 ,    193.1.186.2,53    
20,2017-10-23 16:18:38.460,0.0, UDP,......,0,0,44,1.0,   172.28.10.16,35078 ,    193.1.186.2,53    
21,2017-10-23 16:18:38.460,0.0, UDP,......,0,0,32,1.0,  172.28.19.105,37675 ,    193.1.186.3,53    
22,2017-10-23 16:18:38.470,0.0, UDP,......,0,0,47,1.0,  172.28.24.177,63063 ,    193.1.186.2,53    
23,2017-10-23 16:18:38.470,0.0, UDP,......,0,0,36,1.0,   172.28.3.174,61153 ,    193.1.186.2,53    
24,2017-10-23 16:18:38.470,0.0, UDP,......,0,0,36,1.0, 172.28.244.132,41253 ,    193.1.186.2,53    
25,2017-10-23 16:18:38.470,0.0, UDP,......,0,0,34,1.0,   172.28.17.43,2187  ,    193.1.186.2,53    
26,2017-10-23 16:18:38.480,0.0, TCP,......,0,0,1323,1.0,   172.28.10.16,39544 , 209.85.202.138,443   
27,2017-10-23 16:18:38.480,0.0, UDP,......,0,0,44,1.0,  172.28.241.10,17716 ,    193.1.186.2,53    
28,2017-10-23 16:18:38.480,0.0, TCP,......,0,0,6117,1.0,157.190.130.126,62963 , 159.122.19.147,443   
29,2017-10-23 16:18:38.480,0.0, TCP,......,0,0,829,1.0,157.190.130.126,62964 , 159.122.19.147,443   
30,2017-10-23 16:18:38.490,0.0, TCP,......,0,0,2513,1.0,157.190.130.126,62965 , 159.122.19.147,443   
31,2017-10-23 16:18:38.490,0.0, TCP,......,0,0,1108,1.0,   172.28.17.43,52019 ,   54.192.30.72,443   
32,2017-10-23 16:18:38.520,0.0, TCP,......,0,0,1073,1.0, 157.190.152.55,41052 ,    31.13.90.36,443   
33,2017-10-23 16:18:38.520,0.0, TCP,......,0,0,1791,1.0,  172.28.24.117,38526 ,    31.13.90.37,443   
34,2017-10-23 16:18:38.520,0.0, UDP,......,0,0,38,1.0,  172.28.24.117,40839 ,    193.1.186.2,53    
35,2017-10-23 16:18:38.530,0.0, UDP,......,0,0,34,1.0,  172.28.241.10,3897  ,    193.1.186.2,53    
36,2017-10-23 16:18:38.540,0.0, TCP,......,0,0,698,1.0, 157.190.36.164,58411 ,  93.184.220.29,80    
37,2017-10-23 16:18:38.550,0.0, UDP,......,0,0,36,1.0,  172.28.29.206,32097 ,    193.1.186.2,53    
38,2017-10-23 16:18:38.550,0.0, UDP,......,0,0,31,1.0,  172.28.29.206,13142 ,    193.1.186.2,53    
39,2017-10-23 16:18:38.550,0.0, UDP,......,0,0,50,1.0,   172.28.0.211,56203 ,    193.1.186.2,53    
40,2017-10-23 16:18:38.550,0.0, UDP,......,0,0,32,1.0,  172.28.29.206,44744 ,    193.1.186.2,53    
41,2017-10-23 16:18:38.550,0.0, UDP,......,0,0,44,1.0,  172.28.29.206,24265 ,    193.1.186.2,53    
42,2017-10-23 16:18:38.550,0.0, UDP,......,0,0,16,1.0,157.190.137.121,65242 ,    192.168.1.5,8612  
43,2017-10-23 16:18:38.560,0.0, TCP,......,0,0,1552,1.0, 157.190.129.80,51048 ,   162.125.64.3,443   
44,2017-10-23 16:18:38.560,0.0, UDP,......,0,0,36,1.0,  172.28.27.141,62569 ,    193.1.186.2,53    
45,2017-10-23 16:18:38.560,0.0, TCP,......,0,0,7260,1.0,   172.28.8.212,51795 ,   157.240.1.18,443   
46,2017-10-23 16:18:38.560,0.0, UDP,......,0,0,51,1.0,  172.28.27.203,55804 ,    193.1.186.2,53    
47,2017-10-23 16:18:38.560,0.0, TCP,......,0,0,13305,1.0,   172.28.0.211,59301 ,173.194.138.141,443   
48,2017-10-23 16:18:38.560,0.0, TCP,......,0,0,3657,1.0,  157.190.38.36,63644 , 209.85.202.189,443   
49,2017-10-23 16:18:38.570,0.0, TCP,......,0,0,314,1.0,  157.190.38.36,63645 , 209.85.202.101,443   
50,2017-10-23 16:18:38.570,0.0, TCP,......,0,0,8923,1.0,  157.190.38.36,63646 , 209.85.202.101,443   
51,2017-10-23 16:18:38.570,0.0, TCP,......,0,0,3386,1.0,  172.28.29.206,59688 , 108.177.119.94,443   
52,2017-10-23 16:18:38.570,0.0, UDP,......,0,0,30,1.0,  172.28.29.206,40728 ,    193.1.186.2,53    
53,2017-10-23 16:18:38.580,0.0, TCP,......,0,0,885,1.0,  172.28.27.203,52448 , 23.212.228.142,443   
54,2017-10-23 16:18:38.580,0.0, UDP,......,0,0,42,1.0,  172.28.25.198,49292 ,    193.1.186.2,53    
55,2017-10-23 16:18:38.580,0.0, UDP,......,0,0,34,1.0,   172.28.5.206,55820 ,    193.1.186.2,53    
56,2017-10-23 16:18:38.580,0.0, TCP,......,0,0,831,1.0,  172.28.24.246,37537 , 209.85.202.157,443   
57,2017-10-23 16:18:38.590,0.0, TCP,......,0,0,1763,1.0,   172.28.2.168,59700 , 209.85.202.153,443   
58,2017-10-23 16:18:38.590,0.0, UDP,......,0,0,48,1.0,  172.28.241.10,14564 ,    193.1.186.2,53    
59,2017-10-23 16:18:38.600,0.0, UDP,......,0,0,33,1.0,   172.28.13.75,31304 ,    193.1.186.2,53    
60,2017-10-23 16:18:38.600,0.0, UDP,......,0,0,33,1.0,    172.28.3.72,51409 ,    193.1.186.2,53    
61,2017-10-23 16:18:38.600,0.0, TCP,......,0,0,869,1.0,  172.28.10.112,51114 ,   23.100.86.91,443   
62,2017-10-23 16:18:38.610,0.0, UDP,......,0,0,41,1.0,  172.28.27.112,61058 ,    193.1.186.2,53    
63,2017-10-23 16:18:38.610,0.0, TCP,......,0,0,320,1.0,  157.190.38.36,63647 , 209.85.202.132,443   
64,2017-10-23 16:18:38.610,0.0, TCP,......,0,0,919,1.0,  157.190.38.36,63648 , 209.85.202.132,443   
65,2017-10-23 16:18:38.620,0.0, TCP,......,0,0,1956,1.0,   172.28.5.206,53945 , 162.125.18.133,443   
66,2017-10-23 16:18:38.620,0.0, TCP,......,0,0,392,1.0,   172.28.13.75,46410 ,   169.60.79.21,443   
67,2017-10-23 16:18:38.620,0.0, UDP,......,0,0,51,1.0,  172.28.26.185,55020 ,    193.1.186.2,53    
68,1970-01-01 01:00:00.000,0.0, UDP,......,0,0,0,1.0,    79.97.21.45,49380 ,  157.190.41.30,161   
69,1970-01-01 01:00:00.000,0.0, UDP,......,0,0,0,1.0,    79.97.21.45,49380 ,  157.190.41.30,161   
70,1970-01-01 01:00:00.000,0.0, UDP,......,0,0,0,1.0,    79.97.21.45,49380 ,  157.190.41.30,161   
71,1970-01-01 01:00:00.000,0.0, UDP,......,0,0,0,1.0,   93.107.77.70,63524 , 157.190.54.222,161   
72,1970-01-01 01:00:00.000,0.0, TCP,......,0,0,0,1.0,   77.81.25.162,37087 , 157.190.167.51,23    
73,2017-10-23 16:19:40.514,0.0, UDP,......,0,0,0,1.0,  172.28.20.203,24370 ,    193.1.186.2,53    
74,1970-01-01 01:00:00.000,0.0, TCP,......,0,0,0,1.0, 123.201.121.74,2356  , 157.190.149.54,23    
75,1970-01-01 01:00:00.000,0.0, UDP,......,0,0,0,1.0,  51.171.255.63,52610 ,  157.190.41.30,161   
76,1970-01-01 01:00:00.000,0.0, UDP,......,0,0,0,1.0,  45.55.186.174,42167 , 157.190.144.44,53413 
77,1970-01-01 01:00:00.000,0.0, TCP,......,0,0,0,1.0,  172.28.27.139,58520 , 54.225.105.212,6861  
78,1970-01-01 01:00:00.000,0.0, TCP,......,0,0,0,1.0, 173.216.143.92,57723 ,  157.190.64.57,9000  
79,2017-10-23 16:18:49.020,0.0, UDP,......,0,0,0,1.0,157.190.137.121,50571 ,   192.168.1.22,8612  
80,2017-10-23 15:19:38.548,0.0, UDP,......,0,0,16,1.0,157.190.137.121,50571 ,   192.168.1.22,8612  
81,2017-10-23 16:18:50.091,0.0, TCP,......,0,0,0,1.0, 157.190.248.42,54123 , 157.190.163.12,9100  
82,2017-10-23 16:09:38.878,0.0, TCP,......,0,0,0,1.0, 157.190.248.42,54123 , 157.190.163.12,9100  
83,2017-10-23 16:18:44.720,0.0, UDP,......,0,0,0,1.0,  172.28.25.148,57545 ,    193.1.186.3,53    
84,2017-10-23 16:14:38.995,0.0, UDP,......,0,0,39,1.0,  172.28.25.148,57545 ,    193.1.186.3,53    
85,2017-10-23 16:18:44.720,0.0, UDP,......,0,0,0,1.0,  172.28.14.215,54980 ,    193.1.186.2,53    
86,2017-10-23 16:14:39.386,0.0, UDP,......,0,0,37,1.0,  172.28.14.215,54980 ,    193.1.186.2,53    
87,2017-10-23 16:18:44.720,0.0, UDP,......,0,0,0,1.0,  172.28.27.128,59886 ,    193.1.186.2,53    
88,2017-10-23 16:14:39.386,0.0, UDP,......,0,0,42,1.0,  172.28.27.128,59886 ,    193.1.186.2,53    
89,2017-10-23 16:14:39.066,0.0, UDP,......,0,0,46,1.0,  172.28.13.213,64904 ,    193.1.186.2,53    
90,2017-10-23 16:18:44.720,0.0, UDP,......,0,0,0,1.0,    172.28.1.85,49452 ,    193.1.186.2,53    
91,2017-10-23 16:14:39.136,0.0, UDP,......,0,0,48,1.0,    172.28.1.85,49452 ,    193.1.186.2,53    
92,2017-10-23 16:18:44.720,0.0, UDP,......,0,0,0,1.0,   172.28.27.23,59397 ,    193.1.186.2,53    
93,2017-10-23 16:14:39.286,0.0, UDP,......,0,0,41,1.0,   172.28.27.23,59397 ,    193.1.186.2,53    
94,2017-10-23 16:18:44.720,0.0, UDP,......,0,0,0,1.0,  172.28.14.215,63521 ,    193.1.186.2,53    
95,2017-10-23 16:14:39.456,0.0, UDP,......,0,0,43,1.0,  172.28.14.215,63521 ,    193.1.186.2,53    
